track_id,artist,album,track_name,duration_ms,track_genre
5ruzrDWcT0vuJIOMW7gMnW,The Strokes,The New Abnormal,The Adults Are Talking,309053,alt-rock
42T2QQv3xgBlpQxaSP7lnK,Creed,Weathered,One Last Breath,238240,alt-rock
77KnJc8o5G1eKVwX5ywMeZ,Young the Giant,Mirrorball / Mind Over Matter (Reprise),Mind Over Matter (Reprise),230866,alt-rock
15VRO9CQwMpbqUYA7e6Hwg,Nirvana,MTV Unplugged In New York,The Man Who Sold The World,261093,alt-rock
4CbKVDZkYKdv69I4bCaKUq,Skillet,Awake,Hero,186813,alt-rock
11LmqTE2naFULdEP94AUBa,Nirvana,In Utero - 20th Anniversary - Deluxe Edition,Heart-Shaped Box,281160,alt-rock
3ZOEytgrvLwQaqXreDs2Jx,Red Hot Chili Peppers,By the Way (Deluxe Edition),Can't Stop,269000,alt-rock
0EfsDEYaSjGYd66Pr881nq,The Neighbourhood,Wiped Out!,Cry Baby,235160,alt-rock
1fDFHXcykq4iw8Gg7s5hG9,The 1975,Being Funny In A Foreign Language,About You,326490,alt-rock
7IL8PSVwLOJxqYne6azxQv,The Neighbourhood,Chip Chrome & The Mono-Tones,Pretty Boy,234093,alt-rock
0KzAbK6nItSqNh8q70tb0K,Pixies,Death to the Pixies,Where Is My Mind?,229226,alt-rock
1LzNfuep1bnAUR9skqdHCK,Mazzy Star,So Tonight That I Might See,Fade Into You,295600,alt-rock
46gSk82duJtX3TTA182ruG,Franz Ferdinand,This fffire,This fffire - New Version,218080,alt-rock
3TgMcrV32NUKjEG2ujn9eh,The 1975,A Brief Inquiry Into Online Relationships,It's Not Living (If It's Not With You),248335,alt-rock
7omxuGYsym1n2RlVf86OF9,The 1975,Being Funny In A Foreign Language,The 1975,250900,alt-rock
3d9DChrdc6BOeFsbrZ3Is0,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),Under the Bridge,264306,alt-rock
7wCmS9TTVUcIhRalDYFgPy,Pixies,Surfer Rosa,Where Is My Mind? - Remastered,234973,alt-rock
57iDDD9N9tTWe75x6qhStw,The Verve,Urban Hymns (Remastered 2016),Bitter Sweet Symphony,357266,alt-rock
3cfOd4CMv2snFaKAnMdnvK,Smash Mouth,Astro Lounge,All Star,200373,alt-rock
0xD23i0X1WjqMSYIxRfO80,The Neighbourhood,#000000 & #FFFFFF,Unfair,146866,alt-rock
7lGKEWMXVWWTt3X71Bv44I,X Ambassadors,VHS,Unsteady,193546,alt-rock
35lxFAny9XDBkvE6r9j4uG,The 1975,Being Funny In A Foreign Language,Happiness,303903,alt-rock
