track_id,artist,album,track_name,duration_ms,track_genre
0lUSd7TCG8srh6HpIAEIWL,Little Mix,Glory Days (Expanded Edition),Power,247840,dance
4VrWlk8IQxevMvERoX08iC,Sia,1000 Forms Of Fear,Chandelier,216120,dance
3Dv1eDb0MEgF93GpLXlucZ,Doja Cat,Hot Pink,Say So,237893,dance
1rIKgCH4H52lrvDcz50hS8,Zara Larsson,So Good,Lush Life,201122,dance
7t3Xdbufg7q2onVsR8RBdY,Sam Smith,Love Goes,Fire On Fire,246735,dance
1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,RENAISSANCE,CUFF IT,225388,dance
2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,Sweetener,no tears left to cry,205920,dance
7795WJLVKJoAyVoOtCWqXN,Sam Smith,In The Lonely Hour,I'm Not The Only One,239316,dance
3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,Unorthodox Jukebox,Locked out of Heaven,233478,dance
4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,"thank u, next","break up with your girlfriend, i'm bored",190440,dance
3eJH2nAjvNXdmPfBkALiPZ,Jason Derulo,Acapulco,Acapulco,139672,dance
5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,"Love, Damini",Last Last,172342,dancehall
2grjqo0Frpf2okIBiifQKs,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",September,215093,disco
49X0LAl6faAusYq02PRAY6,Modjo,Modjo (Remastered),Lady - Hear Me Tonight,307153,disco
5ubvP9oKmxLUVq506fgLhk,Bee Gees,How Can You Mend A Broken Heart,Stayin Alive,285373,disco
4cOdK2wGLETKBW3PvgPWqT,Rick Astley,Whenever You Need Somebody,Never Gonna Give You Up,213573,disco
4y1LsJpmMti1PfRQV9AWWe,Cyndi Lauper,She's So Unusual,Girls Just Want to Have Fun,238266,disco
0ikz6tENMONtK6qGkOrU3c,Wham!,Make It Big,Wake Me Up Before You Go-Go,231333,disco
3koCCeSaVUyrRo3N2gHrd8,"Earth, Wind & Fire",Raise!,Let's Groove,339320,disco
6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,The Business,164000,edm
2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It,Ride It,157605,edm
5UqCQaDshqbIk3pkhy4Pjg,Avicii,Levels,Levels - Radio Edit,199906,edm
7H7NyZ3G075GqPx2evsfeb,Mac DeMarco,Salad Days,Chamber Of Reflection,231723,edm
6jgkEbmQ2F2onEqsEhiliL,Mac DeMarco,2,My Kind of Woman,190845,edm
18uwL0vNUanqZH0ro2QcOP,Jeremy Zucker,"summer,",comethru,181613,electro
4DpNNXFMMxQEKl7r0ykkWA,Melanie Martinez,Cry Baby (Deluxe Edition),Play Date,179867,electro
3SErMoIKdRELto2OspGs5L,blackbear,dead,idfc,207026,electro
6jRq8gaZhMUyy5RclRPcAf,blackbear,everything means nothing,hot girl bummer,188343,electro
1TQXIltqoZ5XXyfCbAeSQQ,Sasha Alex Sloan,Dancing With Your Ghost,Dancing With Your Ghost,197732,electro
2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,194087,electro
2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,Narrated For You,Let Me Down Slowly,169353,electro
698ItKASDavgwZ3WjaWjtz,Alan Walker,Different World,Faded,212106,electro
3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,everything i wanted,245425,electro
04sN26COy28wTXYj3dMoiZ,Billie Eilish,Bored,Bored,180933,electro
32BeYxKPrig1LefHsC0Xuo,Billie Eilish,Happier Than Ever (Edit),Happier Than Ever - Edit,151444,electro
5ajjAnNRh8bxFvaVHzpPjh,Madison Beer,Reckless,Reckless,203384,electro
4IhKLu7Vk3j2TLmnFPl6To,Alec Benjamin,Narrated For You,Water Fountain,218893,electro
21szgNA72iLwvBxHQLgwBh,Nessa Barrett,die first,die first,177108,electro
1zu2GKHPJIsUu80SUJX4H4,Alec Benjamin,(Un)Commentary,Devil Doesn’t Bargain,163613,electro
51NFxnQvaosfDDutk0tams,Billie Eilish,Bellyache,bellyache,179172,electro
7hDVYcQq6MxkdJGweuCtl9,Billie Eilish,dont smile at me,ocean eyes,200379,electro
360Wr96ywrCQq4kTAJ8Pq6,Melanie Martinez,Cry Baby (Deluxe Edition),Pacify Her,220013,electro
41zXlQxzTi6cGAjpOXyLYH,Billie Eilish,dont smile at me,idontwannabeyouanymore,203569,electro
20I6sIOMTCkB6w7ryavxtO,Carly Rae Jepsen,Kiss,Call Me Maybe,193400,electro
6YUTL4dYpB9xZO5qExPf05,Calvin Harris,Motion,Summer,222533,electro
7eB1V5LvAdxCc7brfGhRRo,Billie Eilish,dont smile at me,watch,177523,electro
1gihuPhrLraKYrJMAEONyc,Calvin Harris,18 Months,Feel So Close - Radio Edit,206413,electro
7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,17,Jocelyn Flores,119133,emo
5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,17,Revenge,120026,emo
3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,17,Everybody Dies In Their Nightmares,95466,emo
4UKCKdYiLN6IMA5ZESUTL7,XXXTENTACION,?,the remedy for a broken heart (why am I so in love),160184,emo
7AFASza1mXqntmGtbxXprO,XXXTENTACION,?,changes,121886,emo
2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,?,Hope,110886,emo
3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,?,SAD!,166605,emo
7floNISpH8VF4z4459Qo18,XXXTENTACION,Look At Me!,Look At Me!,126345,emo
0JP9xo3adEtGSdUEISiszL,XXXTENTACION,?,Moonlight,135090,emo
04aAxqtGp5pv12UXAg4pkq,Fall Out Boy,American Beauty/American Psycho,Centuries,228360,emo
7z84Fwf1R3Z2BwHCP620CI,Paramore,This Is Why,This Is Why,207652,emo
1yjY7rpaAQvKwpdUliHx0d,Paramore,Paramore,Still into You,216013,emo
0S0vWvyZ6Rc79TXkWxT9QA,Lil Peep,"Come Over When You're Sober, Pt. 1",Save That Shit,231546,emo
7j31rVgGX9Q2blT92VBEA0,My Chemical Romance,The Black Parade,Teenagers,161920,emo
5wQnmLuC1W7ATsArWACrgW,My Chemical Romance,The Black Parade,Welcome to the Black Parade,311106,emo
3Zwu2K0Qa5sT6teCCHPShP,Fall Out Boy,Infinity On High,Thnks fr th Mmrs,203506,emo
2TfSHkHiFO4gRztVIkggkE,Fall Out Boy,From Under The Cork Tree,"Sugar, We're Goin Down",229093,emo
3hRV0jL3vUpRrcy398teAU,Lord Huron,Strange Trails,The Night We Met,208211,folk
1Fid2jjqsHViMX6xNH70hE,Seafret,Tell Me It's Real (Expanded Edition),Atlantis,229173,folk
5NORWMFC27ywGSZxi8uquP,The Lumineers,Cleopatra,Ophelia,160097,folk
3u6PxWema1snbjLbFEyjkJ,Seafret,Atlantis,Atlantis - Extra Sped Up Version,190758,folk
7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Dream Your Life Away,Riptide,204280,folk
1K3LRUEcUz5FMtPYyg0F45,The Lumineers,The Lumineers (Deluxe Edition),Ho Hey,163133,folk
2ixsaeFioXJmMgkkbd4uj1,George Ezra,Wanted on Voyage (Expanded Edition),Budapest,200733,folk
4U45aEWtQhrm8A5mxPaFZ7,Billy Joel,The Stranger (Legacy Edition),Vienna,214240,folk
4ofwffwvvnbSkrMSCKQDaC,George Ezra,Staying at Tamara's,Shotgun,201287,folk
5zA8vzDGqPl2AzZkEYQGKh,Billy Joel,An Innocent Man,Uptown Girl,197706,folk
2ihCaVdNZmnHZWt0fvAM7B,Of Monsters and Men,My Head Is An Animal,Little Talks,266600,folk
2M9ro2krNb7nr7HSprkEgo,Tracy Chapman,Tracy Chapman,Fast Car,296800,folk
62AuGbAkt8Ox2IrFFb8GKV,Neil Diamond,Sweet Caroline,Sweet Caroline,203573,folk
4s6LhHAV5SEsOV0lC2tjvJ,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,California Dreamin' - Single Version,162373,folk
3yrSvpt2l1xhsV9Em88Pul,Van Morrison,Blowin' Your Mind!,Brown Eyed Girl,183306,folk
3Vby4nGmtbDo7HDJamOWkT,Stealers Wheel,Stealers Wheel,Stuck In The Middle With You,208946,folk
1MqzIgGsHP4cNjPboevsfq,Indila,Mini World,Tourner Dans Le Vide,246093,french
5ZduaRci3iNUiDfJbBfAaf,Matt Sassari,Give It To Me (Full Vocal Mix),Give It To Me - Full Vocal Mix,102860,french
0z3bi63SNZ5ylyHOzb81Uq,Gambi,PETETE,PETETE,123846,french
2qOm7ukLyHUXWyR4ZWLwxA,Ice Cube,The Predator,It Was A Good Day,260000,funk
2Ih217RCGAmyQR68Nn7Cqo,Ice Cube,Lethal Injection,You Know How We Do It,232773,funk
5g9lS8deSIxItFBmZRC4vN,2Pac,All Eyez On Me,Ambitionz Az A Ridah,278386,funk
3IAfUEeaXRX9s9UdKOJrFI,Anitta,Envolver,Envolver,193805,funk
1k1Bqnv2R0uJXQN4u6LKYt,Bill Withers,Just As I Am,Ain't No Sunshine,125093,funk
745H5CctFr12Mo7cqa1BMH,The Temptations,The Temptations Sing Smokey,My Girl,165000,funk
1i6N76fftMZhijOzFQ5ZtL,Talking Heads,Talking Heads '77 (Deluxe Version),Psycho Killer - 2005 Remaster,261413,funk
4m1mqQuy34Nzh0480VR364,MC Kevin o Chris,Incendeia,Incendeia,239999,funk
5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,AM,I Wanna Be Yours,183956,garage
5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,AM,Do I Wanna Know?,272394,garage
0BxE4FqsDD1Ot4YuBXwAPp,Arctic Monkeys,Favourite Worst Nightmare,505,253586,garage
086myS9r57YsLbJpU0TgK9,Arctic Monkeys,AM,Why'd You Only Call Me When You're High?,161123,garage
7DcJ6fEBb7BaKuYKTwiDxK,Mild High Club,Skiptracing,Homage,177493,garage
2AT8iROs4FQueDv2c8q2KE,Arctic Monkeys,AM,R U Mine?,201726,garage
0NdTUS4UiNYCNn5FgVqKQY,Arctic Monkeys,AM,Snap Out Of It,193030,garage
3jfZ9M23l0L7RxzYMTgBTv,Joy Again,Looking Out for You,Looking Out for You,179499,garage
7nzsY8vlnKdvGOEE0rjAXZ,Arctic Monkeys,AM,Arabella,207356,garage
2x8evxqUlF0eRabbW2JBJd,Arctic Monkeys,Favourite Worst Nightmare,Fluorescent Adolescent,183893,garage
11iIikXxC6NP0Ma8vMD27x,Vundabar,Gawk,Alien Blues,155933,garage
34xGLuxM0rkxhCVyMSqwJO,Milky Chance,Sadnecessary,Stolen Dance,313684,german
3ovjw5HZZv43SxTwApooCM,Scorpions,Crazy World,Wind Of Change,312360,german
2XRn6Qu0Wd1KvOND8JbaTx,Luciano,Beautiful Girl,Beautiful Girl,179186,german
2HZLXBOnaSRhXStMLrq9fD,Ghost,Seven Inches Of Satanic Panic,Mary On A Cross,244804,hard-rock
4JiEyzf0Md7KEFFGWDDdCr,Guns N' Roses,Use Your Illusion II,Knockin' On Heaven's Door,336000,hard-rock
5MxNLUsfh7uzROypsoO5qe,Aerosmith,Aerosmith,Dream On,266960,hard-rock
7o2CTH4ctstm8TNelqjb51,Guns N' Roses,Appetite For Destruction,Sweet Child O' Mine,354520,hard-rock
0nLiqZ6A27jJri2VCalIUs,Metallica,Metallica,Nothing Else Matters,388266,hard-rock
57bgtoPSgt236HzfBOd8kj,AC/DC,The Razors Edge,Thunderstruck,292880,hard-rock
78lgmZwycJ3nzsdgmPPGNx,Led Zeppelin,Led Zeppelin III (Remaster),Immigrant Song - Remaster,146250,hard-rock
3YBZIN3rekqsKxbJc9FZko,Guns N' Roses,Appetite For Destruction,Paradise City,405640,hard-rock
3YRCqOhFifThpSRFJ1VWFM,Guns N' Roses,Use Your Illusion I,November Rain,536066,hard-rock
5CQ30WqJwcep0pYcV4AMNc,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Stairway to Heaven - Remaster,482830,hard-rock
2zYzyRzz6pRmhPzyfMEC8s,AC/DC,Highway to Hell,Highway to Hell,208400,hard-rock
5sICkBXVmaCQk5aISGR3x1,Metallica,Metallica,Enter Sandman,331266,hard-rock
2MuWTIM3b0YEAskbeeFE1i,Metallica,Master Of Puppets (Remastered),Master Of Puppets,515386,hard-rock
08mG3Y1vljYA6bvDt4Wqkj,AC/DC,Back In Black,Back In Black,255493,hard-rock
